id	ttext
408909807442092032	Игровые новинки)) Sony пророчит триумф PS4 над предшественницей  #игры
408909914334326784	RT @RadioRecord: А какой у вас способ подготовки?) #radiorecord http://t.co/YY2hLx14fw
408910003513602048	Гороскоп для ВСЕХ на выходные. Смотреть видео :) / #party #hustle #hustlehard http://t.co/j11WUHxz6O
408910004440539136	После школы,делать нефиг) #webcamtoy http://t.co/Nd7XN7qf4m
408910380770295808	От делать нехуй)) с утром) продолжаю приходить в себя) #севергорода http://t.co/HXDJBvQ8To
408910603215208448	Олимпийский факел таки погас)))#Новосибирск #сочи2014сибирь http://t.co/LjeACpdlXm
408910902852059136	Ржу, че за... ""@starstranslator: Знаки, с которыми не стоит шутить о сексе - могут и согласиться=) 5#СКОРПИОН,#ЛЕВ,#БЛИЗНЕЦЫ,#СТРЕЛЕЦ""
408911024130359296	@yulia_Skitls заходите к нам в группу, в папке ""в наличии"" есть много всего и мы встретимся с вами максимально скоро :) #нешутим
408911066454708224	@irisha_lt хах, да ты экстрасенс=) прошел час и у кеши активность вверх пошла #mtvstars 30 Seconds To Mars
408911378796523520	@Epifanova_S Совет переговорить с депутатами включенными в эти пресловутые комиссии является попыткой переубеждения? #неожиданно ))
408911462992973824	RT @milena_ivnva: люблю когда прикасаются к моим рукам #посекрету :D
408911684771008512	RT @real_dzemki: #СоколовскийЯХочуТебя что? я? к тебе на ручки? хочу канееееееееечно)))))))))) http://t.co/Tgi5qFhou5
408911737199792128	#ff_ru Сегодня был жесткий день,посмеялись до слез)))
408911738219016192	Срочно всем альбом Skillet Rise всем в уши)нечто) #skillet
408911906804871168	Вчера посмотрели фильм ""меня зовут кхан"" мне очень понравилось) #советую
408912170940776448	Тогда узнаем, кто прав, а кто мертв. *^_^* #RU_FF #FF_RU #FOLLOWBACK
408912454987444224	Он вроде как запал на нее, как я слышала. ;-) #RU_FF
408912881191641088	@Karandash_pro или быть им #эксцентричными #пародистами, те, что радуют Себя в зеркале)
408913304141451264	#TranceFamily я уже определилась с моим #FutureFaborite ;) / А как насчет вас ? http://t.co/WdlVuZiah4
408913445825019904	скрин моего тви в паблике "" #ХуеваяДевушка "" . успех, епта :D
408913950848589824	RT @StarScrim3: #RT продвижение сайта http://t.co/CGPQMoaPDX от компании профи RussinaPromo мы Вас ждём с наилучшими пожеланиями!) http://t…
408914063838945280	Чем дальше парта от преподавателя, тем она веселее:D #TEAMFOLLOWBACK
408914288183885824	в детстве все начиналось со слов: ""выйдешь сегодня?""))) #FOLLOW
408914594447384576	Новосибирск не стал исключением, и здесь #олимпийскийогонь тоже потух) Говорят, 40 раз за весь марафон это произошло уже)
408914639763017728	Из окна в общаге) #snow #winter http://t.co/597yZNzJsj
408915474504617985	Ну и сам шпицрутен это конечно же Spie?rutenlaufen. Куда же мы без немцев %) #смешно
408915634206945280	Кирова позвонила и плачет в трубку,после того как узнала о победе)и как я только понимаю что она мне говорит сквозь слезы!#VIXX1stWIN
408915982783361024	Нет, не холодно )) #зима #щ1ы1э #л1о #вмашине #жду #минутнаяскука @ ТРЦ ""Россия"" http://t.co/fNhTW9T2cE
408916142364057600	RT @F1Popov: ПС Кстати, - 100 дней до Мельбурна! #чтотобудет :-)
408916145304256512	Накануне водитель говорит, что нет у него ощущения праздника! А у меня есть))) #НовыйГод
408916191290220544	Она думает, что квартира принадлежит ему. о-) #INSTANTFOLLOWBACK #FF_RU
408916236148690944	Очень крутые ребята! :), только качество не очень #CityLights http://t.co/L2CQR3JUb0
408916351529783296	RT @RadioRecord: Правильный спидометр) #radiorecord http://t.co/umk9gTp2u5
408916779675947008	@ndistalkpopese, Казанцева,Яковлева,Щепаренкова,Мурина,Тарасова.Это всё:) Поздравляю еще раз с выпуском красотки! #выпускной2013
408916965789806592	RT @leann_1974: @NakolenkeTV Татьяна Лазарева приняла участие в проносе олимпийского огня! Вот это да #неожиданно:) #героическийпоступок
408917051554947072	Ты тупая как валенок,хотя ты не знаешь,что такое валенок. Ты тупая как угги #универ :)))
408917349853827072	Ну вот теперь точно #модная))) @ Sweet home http://t.co/kG1bneAxgz
408917412013408256	RT @KaterinaShine_: @Belieber060899 да ничего. Удачи с уроками))) #mtvstars Justin Bieber
408917498751225856	Танцовщицей в мужской клуб я тоже не пойду. о-) #FOLLOW
408917583933755392	С гордым дядей Саймоном за кулисами X Factor :) /  / #littlemix #simoncowell #xf #photo http://t.co/9dZCiA96K2
408917713911046144	Вот так вот!))) позабавило))) #dance #9zalov http://t.co/JRcN4OK5PT
408917715035123713	Смотрю на него и рука не поднимается согнать со стола. ) #котэ #персик #питомец #NationalCatDay #котики #кот #моська http://t.co/3jsKZNiEmd
408917715303542784	@SStasechka потом еще кто-нибудь полюбит)) енота не полюбить, хуйлом быть #рифмачебач
408917715450355712	Команда #КВН школы Гейдара Алиева г.#Астрахань - веселые ребята! Зал полон оваций!) http://t.co/mGnZHLUd1d
408917753362280449	#СоколовскийЯХочуТебя пригласить на пикник)) http://t.co/d7ES3OmDHB
408918338819985409	RT @RadioRecord: Правильный спидометр) #radiorecord http://t.co/umk9gTp2u5
408918395711942656	Я люблю многих людей, слава Богу, меня окружают очень хорошие люди?=)))*** #ясейчасрассплачусь #яреальнолюблюлюдейокружающихменя ^_^
408918744120188928	Купила себе милашные розовые бантики))) и как афигенный))) #счастье #радость #позитив
408918828991934464	RT @JuliaBelieberJD: Какой маленький!) #mtvstars Justin Bieber http://t.co/2OlKCWVWik
408919055072907264	Любовь или война? А может быть война за любовь? Главное не перепутать противника... ) #vk #love #war
408919099360571392	уууу)))че я вспомнила))))я же твикс купила))))#вкусняшка
408919382778462208	Вот так и работаем;))) #сладости #конфеты #киткат #зефир #люблюсладкое #обжора 
408919473056653312	RT @SevaTarasov: Вы видели, у нашего клипа ""Пока Мы Молоды"" уже почти 1 500 000 просмотров)))!! http://t.co/wOQsnCFfUF #ГЕРОИ #ПокаМыМолоды
408919702447337472	@anlock97 да ты кого)#анонимно написать в публичную группу,у анонима ума палата,не слушай даже!!!
408920005406097408	Фильм понравился) пример просто отличной экранизации, даже упитанность Китнисс уже привычна #ГИ
408920100155424768	@iasineigor даа :) а вчера была Арбенина. Неземное зрелище! И куча #ЛГБТ, естественно)
408920100448657408	Сергею лазареву в новом клипе сердце и лицо разбила красотка-боксерша :)  http://t.co/sunkMKm0SK  #премьера #СергейЛазарев #новый_клип
408920283941466112	RT @smirnitskaya519: Многократный чемпион по самбо #стукнул тростью об асфальт в Петербурге. #улыбнуло ;) #SuperRetweet
408920621129940992	RT @SevaTarasov: Вы видели, у нашего клипа ""Пока Мы Молоды"" уже почти 1 500 000 просмотров)))!! http://t.co/wOQsnCFfUF #ГЕРОИ #ПокаМыМолоды
408920658194997248	RT @PuzyrevaV: #СоколовскийЯХочуТебя познакомить с Найлом :) http://t.co/Tp6jTiO9ON
408920659512012800	RT @Hearthstone_ru: Ключики раздали, но это еще не все! Часа через полтора начнем новую игру, готовьтесь :) #ВсемHearthstone o/
408920903532027904	@mikey__fuckin вах вах, какой смайлик:D #СлишкомУпорот
408921265446342657	Готовлю себе на обед  японское блюдо Сакэна с рисом. #Димашефповар передает привет #Катяшефповар !:)
408921523689644032	Модель бл*))))) #instagood #me #cute #follow #photooftheday #like #girl #beautiful #picoftheday… http://t.co/d2ozrnGRjl
408921568656371712	#5k @KISS_onNIGHTS @__URIE___ люблю я вас,пельмени мои дорогие))
408921741382017024	Но как-нибудь она присоединится к нам за обедом. Э:-) #FF
408921783341809664	теперь я знаю что @shatalov_vadka читает мои твиты:D #этоважно
408921878645207040	А знаете почему у вас нету подарка на новый год?) Потому что вы не послали смс с кодом на номер деда мороза:) #TEAMFOLLOWBACK
408921879815020544	На то тебе и нюх, чтобы выбрать, какой дорогой идти. .. ^_^ /../ #AutoFollowBack
408921881132011520	Он вытащил троих ребят из своего подразделения посреди перестрелки. ::-) #FF #FOLLOW
408922137513050112	RT @Hearthstone_ru: Ключики раздали, но это еще не все! Часа через полтора начнем новую игру, готовьтесь :) #ВсемHearthstone o/
408922436357586944	""@Arsyha777: @GOTIMUS если я правильно понял, то у нас Юрий глава!?"" #ВРИО но думаю после НГ утвердят #ТакВижу ))
408922564833325056	Мы заи:* #няшки #милости #милашки :) :* http://t.co/84HfeUdQQL
408922694642434048	Каюта капитана должна быть там. О-) #TEAMFOLLOWBACK
408922943381843968	А до Нового года осталось 25 дней:-) #праздник #новыйгод #шарики #елочка #ждем #new_year,… http://t.co/IUxqBk6TG6
408923197858652161	RT @biathlonrus: Первая медаль Ирины Старых на этапах Кубка мира! :) Ура!!! #biathlon #биатлон http://t.co/4btmXwTun6
408923291001585664	Где твои крылья,которые нравились мне. Радио мгту радует)# bmstu
408923511831273472	#Киев, РЦ Блокбастер - #ярмарка Hand Made ""Творча кухня Діда Мороза"" http://t.co/e0FJFtqWcZ Приглашаем мастеров!) http://t.co/kBGPRW1M72
408923729142763520	Эталон ))) #чача #чайхана #фестиваль  #ессентуки  #поющийисточник http://t.co/fFXy1kpcgN
408923822373748736	RT @al88marvel: прочитала название запаха когда шла домой. купила как знала :D #exotic #exo #exok #exom #fangirl #wolf… http://t.co/h4rBy1A…
408923865188814848	#Киев, РЦ Блокбастер - #ярмарка Hand Made ""Творча кухня Діда Мороза"" http://t.co/Y2jK6PPmap Приглашаем мастеров!) http://t.co/DoxB3hLTWk
408923910638280704	@sereje4kin а этот ваш #2fest можно где-нибудь посмотреть в онлайне или в записи потом?)
408924283042545664	RT @biathlonrus: Первая медаль Ирины Старых на этапах Кубка мира! :) Ура!!! #biathlon #биатлон http://t.co/4btmXwTun6
408924611015741441	@SoulatTw ты нашла кто тебе будет делать #ремонт )) поделишься работниками? ))
408924751336570880	Уже почти пол года как выпустился, а когда концу декабря очко немножко так сжимается :-) очевидно это привычка:-) #мысль #учеба #привычки
408924808106082304	@Userator отличился от всех и снял видео об отмене учета ссылок #yandex на рисовом поле http://t.co/WPogRchVgI Молодец)))
408924848782450688	Трижды четыре - двенадцать. 3:-) #RU_FF #FF_RU #FOLLOWBACK
408924953464283136	@panda_beliebeer голосуууй :* ради его улыбки с: #mtvstars Justin Bieber
408925445111824384	Я слишком долго и упорно к этому шла, чтобы рисковать этим ради какого-то удачливого уборщика. ::-) #FOLLOWBACK
408925480726065152	Me after cold shooting / #Кофе как атрибут;) оч люблю, но пью редко.. По праздникам;) #me #coffee… http://t.co/U81KerYzHQ
408925483934707712	Ребят, интересно, что вы думаете о нашей системе образования в ВУЗах? Студенты, поделитесь мыслями) #опрос
408925484643127298	На нашем первом свидании я заказал греческий салат. =) #ff
408925633465446400	Глядя на политические телодвижения #Кличко, возникает вопрос: А не в опломбированном ли вагоне он из Германии в Киев приехал? )))
408925915968987136	Подписывайся и будь в курсе личных новостей от Элины из первых рук :). #новости
408925919005659136	Банкомат увезли на санках и убрали в гараж, это реальный случай) #преступникиотбога
408926315547738112	Уже присматриваю себе отдых :)) #summer #vacation #relax http://t.co/x4HHTNNpmN
408926357453033473	В варианте Переводческого фак-та ПГЛУ Остап планирует организовать межпланетный слет переводчиков ))) #ПГЛУ http://t.co/DZrnC0D7UR
408926359117770753	Газеты ""Вечерний Минск"",""Минский Курьер"" прислали КП.Предлагают разместить у них рекламу инет-магазина)) Думаю,конверсия зашкалит #надобрать
408926400734064640	RT @biathlonrus: Первая медаль Ирины Старых на этапах Кубка мира! :) Ура!!! #biathlon #биатлон http://t.co/4btmXwTun6
408926448582275072	#ДокторКто ""Я слышала пение...."" ""Да, я спел песенку и Далеки убежали!!"" :))))) Круто, чё!! http://t.co/fMLYAayuYJ
408926489183154176	Не многие священники занимаются этим в наши дни. :) #ff #follow
408926777155653633	#mtvstars One Direction Господи, как я ждала этого :D
408926778405978112	RT @PASHAPISTON: @Olya_Antonovich пей какао обнимай батарею))#hot #weather
408926822106025984	Ну, сколько бы ни было это дофина, не думаю, что нас интересует еда. ;-) #FOLLOW
408926822630305792	Гарантирую, что ты выбирал курс, если на экзаменах были подсказки. :-D #FF
408927171780960256	Вот это #карнавалы.. Хотелось бы в живую увидеть это чудо) Спасибо источнику http://t.co/uM85dkSvO0 за красочные фото)
408927531744899073	RT @xpinjection: :))) @pirates_ua: раскрыта личность провокатора #євромайдан #евромайдан http://t.co/IpQ8cBwqXq
408927676766748673	До официальной премьеры #Хоббита - неделя. А это значит, что пора пересмотреть все видео блоги!) #hobbit #Smaug #Bilbo #PetterJacson
408927763647987712	""@pavelsheremet: Лежачий протест у генпрокуратуры Украины #евромайдан Фото - Дмитро Ларин http://t.co/VMWEnoOOey"" Украина отжигает!)
408927994766712832	RT @RadioRecord: Мода, она бывает разной) #radiorecord http://t.co/70Pg4Bbjry
408928080275992576	Занесло меня на просторы ВДНХ) #russia #moscow #today #winter #cold #like http://t.co/fhOjt6QhNL
408928230704701440	Только мы поймём)Хуй Тимати:D #яприличнаядевочка http://t.co/LQc1lt37ty
408928276770746368	#Рассказала текст по английскому на 7, #вспомнила школу, #вспомнила испанский, #вспомнила нравоучения Телебука. А тут-то прокатило;)
408928578626420736	Двигаем на открытый #versus. @Mariamashkaa, не забудь вечером трек залить :)
408928708435509248	Написав мені адвокат Кофі Міллс есквайр. Каже, маю отримати 7.380000$ спадку #успєх?))
408928772214513664	RT @SmailovAlmas: Ае Ае Ае сейчас начнется открытие ШСВ;) #ШколаСтудвесны #ШСВ_Томск http://t.co/afzPv62dO5
408928909087244288	RT @djoshua7: :)) - ""Идите вы все на***!"" - мнение о Евромайдане киевлянки, живущей в центре #евромайдан
408929215539847168	RT @Roz_And: Вам привет из Ленинграда :) #євромайдан #евромайдан #Україна #Россия http://t.co/mRkeXowMTI
408929432607272960	школа, такая школа:) #НовогоднееНастроение http://t.co/nQ3JKEHH7D
408929514295541760	Люди звонят с утра, на радио крутят треки из моей золотой коллекции - всё как бы намекает:) #пятница #устройдестрой
408929557161734144	На работе уже дали новогодние подарочки, прияяяятно :)#скороновыйгод
408929707342958592	@bastaakanoggano Спасибо за ретвит. Посмотрим кто еще к нам подтянется) #SNAG
408929876822212608	RT @Insecteced: Буклеты #лабмедиа на конференции #OEB13 расхватались за 10 минут! На следующий год надо вложить в раздатку)
408929878394667008	костюм отпарила,ужиис,какой он большой #драйв поймет :-D
408929928521199616	RT @StasVeselin: Каждый год эти трансляции задают мне новогоднее настроение) обожаю #биатлон http://t.co/TYBhRFrlFN
408929973781528576	#brest_by может у кого-то есть знакомые или околознакомые:) на руководящих должностях в брестских казино? для материала надо, хэлп
408930319434547200	RT @ehorohorin: Пятница чернее некуда, мои и не только мысли :) http://t.co/z8uvZArJvI #blackfriday2013
408930458676633600	@liiizkaaaaa ахах:) я бы рада была:):) но они хер выгонят её:):) #папины_бабки_порешают
408931144953233408	Мах мечтает о шашлыках!однокурсники поздравили))  #др #киров http://t.co/5KCsPvHgU5
408931296296329217	Я задрот ;D #perfectworld  мои день прошел в игре:D нет чтобы готовиться:D #ясказаланетэкзаменам http://t.co/8VtmIe7oiQ
408931631685066753	@allintop лично я отключил все ссылки с бирж ))) все ! Баста ! #ibcrussia
408931688258224128	Утеплилась такими вот милашками) #угги #аеее #супертепловних http://t.co/a1MzlrMgUU
408931921050488832	@PudjeeTheOne. Ну слушай бро, переубедить не получится) Это же bitches ахах #trustory #realtalk
408932270926753792	Тепло в каждый дом ! Обогреватели )) Как же тяжко без них. #ВлГУ #ПолитехникВлГУ http://t.co/7rMgl2Qdgk
408932531690799104	До #мсдп доезжают только самые стойкие, такие как @KirillSchitov :D
408932900126482433	КИНОМАШКА: МИСТИКА И ФАНТАСТИКА!!! http://t.co/dct4zURRCS Это гавно, но щас посмотрим :-) #кино
408932900680523776	""И если он счстлив- я вдвойне"" и кого вы обманываете?)&lt;img src=""http://t.co/jvoQcdqr4e""&amp;#8230;
408933649456062464	⇒ Оформление с #LouisTomlinson #ChristmasPack / • Если используете, голосуйте :) / • Понравилось, ставьте лай http://t.co/awTYF2khed
408933852158390273	Мой позитив всегда на связи))) #мунгалемунгале http://t.co/v1TxS8UXZj
408933896831897600	@tor4in Ну пока что такие скидки. :)  Думаю, что кто-то найдет для себя нужный товар, среди них ;) #439onduty
408934071897972736	Любимый крестничек)) мой пупсик гуляет)) #крестничек #малыш #красавчик #зима #гуляем #милыймальчик http://t.co/ID2539Nkd1
408934118735773696	А мы тут по #ГУМ гуляем! В понедельник покажем, что нагуляли) #декор  #открытие #цветы http://t.co/pvpBH9tSGV
408934524090077184	играли с девками в снежни, Даша вся в снегу:D #люблюснег
408936177735958528	#RT @irochka_17: К сожалению, это решение окончательное. :-) #FOLLOWBACK
408936223408148481	С 13 февраля в кинотеатрах;-) /  / #инстаграм #МаринаАлександрова » Марина Александрова http://t.co/OXQ5Yy3mCs
408936422595657728	Последний месяц 2013 года. Мы в тренде:) #сорокдвашечка #marrychristmas http://t.co/abnjiDggNL
408936467017109504	#СоколовскийЯХочуТебя ...  слушать) http://t.co/UTzybNrk97
409041587528679424	Это будет мой самый покупаемый фильм. O:-) #ff #follow
409041716738813953	""В холле бесплатный Wi-Fi без пароля! :)"" @ БЦ ""Baltis Plaza"": http://t.co/V5LpHkDuRH #foursquare
409041767632498688	#Голос Чага поет #Онем, сегодня явно мой музыкальный день)
409041819423358976	Но я не говорил, чего я хочу. /)__) #TeamFollowback
409042373885571072	Душевная и такая теплая песня,тоже пою) )#Голос , Элина Чага
409042677116977152	""Вкусно все!))"" @ Кафе Пикник: http://t.co/h7AIch14AX #foursquare
409042896785272832	RT @Nastya2030: Сегодня всю укр. мову с пацанами про порнуху базарили :D #моихорошие :3 #люблювас! ♥
409042943526195200	Бостон - это респектабельный город, сэр. :))) #FollowBack
409043076184014848	Strong, you and I, little white lies....теплая постелька... твиттер... вот за что я люблю ночь^_^ #mtvstars One Direction
409043077954015232	Здравствуйте, мои уважаемые и дорогие фолловеры! :) В #tverobl новые министры природы и леса, а у нас новые надежды на них. Жизнь идёт. :)
409043440899334144	вкусная очень рыба, но меня может стошнить  :) #безысходность
409043989275213825	Ахаха, норм картинка ) #євромайдан #Україна http://t.co/eWp2IByIGN
409044084376862720	#Голос Публика будто на ЕЁ концерт пришла!!!! Молодец, Наргиз!:))
409044140362457088	Жеребьевка ЧМ более чем удачная, если мы из такой группы не выйдем, это будет ооочень обидно :) #FIFA2014
409044491056996352	@loveeforddl OMG,это же я на майке :D я себя по щечкам узнал :D ахах #типикаля
409044736729964544	Что-то мне пришло в голову... а давайте продвинем  #скороНГ) чтоб каждый твитт под этим тегом)
409044832376848385	2 мужика в 3 часа ночи сидят пьяные на диване, смотрят Голос. Женщины в отпуске:) #батяня
409045078045634560	...не говорили даже, но у меня было реальное ощущение будто он у меня дома сидит, в гостях;)...реально круто:) #люблюего
409045138804338689	Пролила чай в столовой на стол:DD Пфф,#мненорм ахахха
409045318815055872	Они достойны только первого места #mtvstars One Direction)
409045817396191233	- Это полный АМФРЮ! ну мы то знаем о чём это Дима Билан ;) #Голос
409045819103670272	RT @kirieshkina: Женщина в своей тарелке, явно:) #Голос #Наргиз Тяжелая вещь для исполнения
409046006937178112	RT @tina_kandelaki: @BarackObama признался, что не пользуется #iPhone из соображений безопасности. Поэтому он ходит с Blackberry) http://t.…
409046068991901696	#голос я за. Тину короче! Она-самая самая крутая исполнительница на проекте! Это не обсуждается! Кто согласен, rt)
409046273166442496	RT @euromaidan: RT @TukvaSociopat Майдан сейчас! ))) #євромайдан http://t.co/56nSbLjVpm
409046321069174784	Посмотрела ""Кэрри""-до сих пор в шоке!Охрененный фильм!Всем советую)@ChloeGMoretz супер)Спасибо,всё это благодаря тебе!) #Carrie
409046783042416640	RT @Stacey_fan_AVA: Ностальджи-2..) Выросла я на их шутках-прибаутках) #МаксЫ @Shelkoff ‏@andreminin @Vyushkin @Goreliy ‏@malasajev http://…
409046783915208704	рук не чувствую, ног не чувствую, но все было классно) #happy
409046785961635840	Он сможет сделать это вечером. :-) #INSTANTFOLLOWBACK
409046848184545280	RT @litelp: #голос такое чувство, будто Евровидение смотрю :-):-)
409047036445884416	по пути домой на элетроне познакомился с товарищем #паровоз )обсудили  группу нашей сборной и игру нашего Локо в целом) #Локовперед
409047210303967232	RT @litelp: #голос такое чувство, будто Евровидение смотрю :-):-)
409047211402862592	RT @litelp: #голос такое чувство, будто Евровидение смотрю :-):-)
409047259670904832	Ммм.. Дорогая, какой #вкусный салат! Сама купила?) #статусы #FollowMe
409047304386408449	RT @litelp: #голос такое чувство, будто Евровидение смотрю :-):-)
409047873138229248	RT @litelp: #голос такое чувство, будто Евровидение смотрю :-):-)
409048016570839042	@sergeysaushin Элина Не вытянула даже до Дубцовой, а это не верх совершенства, сегодня чемпион Курт! #Голос )))
409048080571711488	“@litelp: #голос такое чувство, будто Евровидение смотрю :-):-)”
409048195139133440	RT @Irishkaaa1D: @Tania1Dfamily пока) сладких снов :З #mtvstars one direction
409048426001989632	Сотый твит посвящаю победе Наргиз в этом этапе:) Молодец, ты лучше всех)#голос #победа #ура
409048685872709632	Ну что ж,знакомимся?:D Я Юля,люблю гоняться за звездами.За всеми.Но мои самые любимые это Мули,Никки,Гагуля,Лана и пожалуй Демииии. #ванлав
409048923480027136	RT @_chamava15: Ну что, у меня 3 часа ночи, все равно через пару часов уже в школу, после ""женщины в трениках"" я точно не усну!)))#Голос
409048985329225728	Кажется #ДжулиПлек малехо перегнула палку в создании #сюжет для @vampirediaries . Слишком все запутано. Хотя все равно тянет к просмотру)
409049172671623168	Пётр Елфимов: ..Любимая жена и доченька/утютю=) как мило! #голос
409049223485980673	RT @Jas_Yuu: Тина, Андрей и Наргиз - прекрасный выбор у Пелагеи, Билана и Агутина :) #Голос
409049287541424128	тусня)) #dance #Goodday #Showmodels http://t.co/joi9JZorbx
409049366041997312	Нас смешил чувак,который нас фоткал:) хороший вечер:) #girls #party #justdance #ilovemygirls @ bkwsk… http://t.co/5E4iiNcBMe
409049368197480449	#голос Элина мне сразу не понравилась, а на Петра как-то плевать :-):-)
409049581452677120	Победа,победа и ещё раз победа!!!!))))) #mtvstars One Direction
409049755092647936	Только поняла, кого Пелагея напоминает с такой шевелюрой -умильного львенка:)) #Голос
409049755520860160	RT @kiralosswod: концерт на славу! #KDK - ахуенные) http://t.co/8x200FxwWM
409050015475458048	Хочу, чтоб на интернет у меня оставалось меньше всего времени)... #TEAMFOLLOWBACK
409050061923172352	Тут народ волнуется , что #голос не в прямом эфире сегодня был. Кто нить в курсе, как там на самом деле обстоит ?)))
409050190570852352	Не, #EnyoJS как идея интерфейса однозначно нравится. Осталось согласовать с юзабилитистом :)
409050327019556864	#ЧМ2014 интересный расклад, будем надеяться на хорошие результаты. Теперь все зависит от самих себя))
409050367318835200	#Голос Ангелина,Нодар,Юлия и Петр-мои победители :)
409050407780892672	Никто в мире не узнает, что произошло. ::-) #InstantFollowback
409050409006034944	Когда-нибудь я обязательно спою песню Франка Синатры - Нью Йорк на таймс сквер и станцую))) #буюрса ^^
409050453922836481	Люди с горящими глазами влюбляют! Хорошо что вокруг меня таких большинство) Огонь в душе-огонь в глазах.!) #нельзяжитьбезстрасти
409050454593929216	RT @LenaGarina: #євромайдан Тема титушек раскрыта :) это ЖЕСТЬ!!! Просто жесть. http://t.co/u5EkVrt2v7
409050918051934208	Скоро новый год и это мой первый новогодний подарок. Сумка от папы и от #prada :) уже люблю ее. http://t.co/94Cojjxu50
409050921315094528	RT @justsaymeow: RT если видел мой батл на #versus и согласен с решением зрителей :)
409051197921054721	RT @justsaymeow: RT если видел мой батл на #versus и согласен с решением зрителей :)
409051244943400960	RT @AliOkapov: Финал) #концерт #кайраттунтеков #шымкент http://t.co/dutAfzL6Ti
409051246168141825	RT @TukvaSociopat: Трудно не согласиться! ))) #євромайдан http://t.co/UuEVbS3PxF
409051247052742658	У вас дырка в штанах не на том месте. O:-) #FollowBack
409051281542881280	Как же я рада,что в полуфинал прошли Наргиз Закирова,Тина Кузнецова,Андрей Цветков и Сергей Волчков)Спасибо им за эмоции.Было круто #Голос
409051416943427584	#chepaybar отдыхаем с Настюхой!!:))) http://t.co/iIPDa0hmB7
409051458332819456	Пока я пополняла коллекцию медведей в Германии, родители и #Райффайзен подсобили тут:) http://t.co/HNzMswipiN
409051553257881600	И т.к.сегодня все полуфиналисты определились предсказуемо, надеюсь, Пелагея будет адекватна в след.пт, и Антоша пройдёт дальше #Голос)
409051599206891520	RT @ShirokovaTamara: Соня с детками) #чужихдетейнебывает http://t.co/AJplmQnjUe
409051748150808576	RT @TukvaSociopat: Майдан минуту назад! ))) #євромайдан http://t.co/WZZDlDZrJo
409051923661488128	Счастье-тихонечко почитать книжулю и незаметненько пойти спать ))) пятницааа #пятница #grace #сон @ Vi&amp;Lu http://t.co/cD1AIZuJ8M
409051974542557184	RT @This_Is_Stacy: Когда смотрим со @smiling_criceto #голос,то больше обсуждаем Нагиева,чем участников:D
409052160673202176	RT @TukvaSociopat: Трудно не согласиться! ))) #євромайдан http://t.co/UuEVbS3PxF
409052256106184704	RT @TukvaSociopat: Майдан минуту назад! ))) #євромайдан http://t.co/WZZDlDZrJo
409052468388298752	@rotapost я не только про #Twitter, но и про интернет-проекты:)
409052511635374080	Мне кажется, детям из ""Взгляд снизу"" будет смешно и стыдно лет через 10-15 :D #вечернийургант
409052729437204480	ГОСПОДИ, НИКИТА, ИСПРАВЬСЯ!!!ЗАНОЗА БЕДНОГО МАЛЬЧИКА)) #ВечернийУргант
